Antibody,epitope_class,epitope,n_tested,n_sensitive,n_intermediate,n_resistant,pct_sensitive,pct_resistant,geometric_mean_ic50,median_ic50,mean_log_ic50,std_log_ic50
VRC01,CD4bs,CD4bs,9724,6700,2109,915,68.90168654874537,9.409707939119704,0.579981827399711,0.38,-0.23658561399511494,0.9300187685978416
VRC03,CD4bs,CD4bs,1477,500,392,585,33.852403520649965,39.60731211916046,4.118273143963324,10.7,0.6147151477657566,1.177740554049492
3BNC117,CD4bs,CD4bs,5212,4106,776,330,78.77973906369915,6.331542594013814,0.24179801389338104,0.106,-0.6165472707154767,1.0407020396624214
NIH45-46,CD4bs,CD4bs,2437,1886,275,276,77.39023389413212,11.325400082068116,0.24891969099851932,0.11,-0.6039407468074501,1.1152062439693702
b12,CD4bs,CD4bs,3913,711,1349,1853,18.170201891132123,47.35497061078456,10.334139531767931,25.95,1.014274321102401,0.961216560597552
PG9,V2-glycan,V2 apex,8451,5989,1438,1024,70.86735297597917,12.11690924150988,0.300073162855177,0.105,-0.5227728441122538,1.2189142853478752
PG16,V2-glycan,V2 apex,3735,2247,861,627,60.16064257028113,16.78714859437751,0.5041207069700836,0.25,-0.29746546336695223,1.3566680523507972
PGT145,V2-glycan,V2 apex,2658,1468,699,491,55.229495861550035,18.472535741158765,0.7634225994189836,0.604,-0.11723498787960447,1.3327785432396169
PGT121,V3-glycan,V3 glycan,7522,4450,1631,1441,59.15979792608349,19.15713905876097,0.5658280802479377,0.22,-0.24731550369040503,1.4011618051603931
PGT128,V3-glycan,V3 glycan,4698,2953,793,952,62.85653469561515,20.26394210302256,0.4235911678956041,0.067,-0.373053103744418,1.4107796702307875
10-1074,V3-glycan,V3 glycan,4969,3301,879,789,66.43187764137653,15.878446367478366,0.3850329550702327,0.097,-0.4145020975235964,1.3476654131479264
10E8,MPER,MPER,9563,7338,1971,254,76.73324270626372,2.656070270835512,0.22112738615628286,0.185,-0.6553574676428068,0.9225846755947519
4E10,MPER,MPER,3585,1132,2331,122,31.576011157601116,3.403068340306834,2.1203320018568417,2.3,0.3264038681388658,0.7401108749536862
2F5,MPER,MPER,3306,560,1523,1223,16.938898971566847,36.99334543254688,8.141623011958274,14.6,0.9107109890263425,0.8571360579488002
35O22,interface,gp120-gp41,1246,450,279,517,36.11556982343499,41.492776886035315,2.892757586512242,11.7,0.46131204123486863,1.4077535135619748
8ANC195,interface,gp120-gp41,1220,493,412,315,40.40983606557377,25.81967213114754,2.8453518759880323,2.3,0.4541359819262645,1.040679896623444
