optimizer,best_corr,drug,drug_class,n_samples
#351 SGD+Momentum,0.8415519010596302,FPV,pi,2052
#352 Adam,0.8878699701002607,FPV,pi,2052
#353 AdamW,0.885447632707566,FPV,pi,2052
#354 RAdam,0.8630457893977291,FPV,pi,2052
#355 NAdam,0.8782712430828514,FPV,pi,2052
#369 SAM,0.8893574597596736,FPV,pi,2052
#351 SGD+Momentum,0.8722457787631438,ATV,pi,1505
#352 Adam,0.8996926576349386,ATV,pi,1505
#353 AdamW,0.8875460588347623,ATV,pi,1505
#354 RAdam,0.8340207550023045,ATV,pi,1505
#355 NAdam,0.9064132672519688,ATV,pi,1505
#369 SAM,0.8993752838819944,ATV,pi,1505
#351 SGD+Momentum,0.8632123483053357,IDV,pi,2098
#352 Adam,0.9045554441963406,IDV,pi,2098
#353 AdamW,0.9020774044684597,IDV,pi,2098
#354 RAdam,0.8760197807356177,IDV,pi,2098
#355 NAdam,0.9038402557251239,IDV,pi,2098
#369 SAM,0.8996303999982809,IDV,pi,2098
#351 SGD+Momentum,0.8795197174874652,LPV,pi,1807
#352 Adam,0.919197750462705,LPV,pi,1807
#353 AdamW,0.9210629165151615,LPV,pi,1807
#354 RAdam,0.8675935554843655,LPV,pi,1807
#355 NAdam,0.9183582672982187,LPV,pi,1807
#369 SAM,0.9067650846508648,LPV,pi,1807
#351 SGD+Momentum,0.8534563249176133,NFV,pi,2133
#352 Adam,0.8990089968863809,NFV,pi,2133
#353 AdamW,0.9037853164430625,NFV,pi,2133
#354 RAdam,0.8596140192941736,NFV,pi,2133
#355 NAdam,0.9003980061676661,NFV,pi,2133
#369 SAM,0.8924209965032933,NFV,pi,2133
#351 SGD+Momentum,0.8210634755016611,SQV,pi,2084
#352 Adam,0.8620779173888092,SQV,pi,2084
#353 AdamW,0.8592108625299191,SQV,pi,2084
#354 RAdam,0.8265690728825342,SQV,pi,2084
#355 NAdam,0.8419641073292142,SQV,pi,2084
#369 SAM,0.8528933294028206,SQV,pi,2084
#351 SGD+Momentum,0.6806549699875167,TPV,pi,1226
#352 Adam,0.746202952921014,TPV,pi,1226
#353 AdamW,0.7566995731009151,TPV,pi,1226
#354 RAdam,0.6520582378626427,TPV,pi,1226
#355 NAdam,0.7191732479456422,TPV,pi,1226
#369 SAM,0.6796896522070353,TPV,pi,1226
#351 SGD+Momentum,0.752329669560446,DRV,pi,993
#352 Adam,0.8075288259078929,DRV,pi,993
#353 AdamW,0.8222505343187746,DRV,pi,993
#354 RAdam,0.7672551465636401,DRV,pi,993
#355 NAdam,0.8607742459395359,DRV,pi,993
#369 SAM,0.8116942527874467,DRV,pi,993
