serotype,year,x_mean,y_mean,x_std,y_std,radius_mean
DENV-1,2024,0.6741946153236396,-0.030686421656249973,2.55351295663786e-15,1.3530843112619095e-16,0.6748926105725677
DENV-1,2025,0.6865320212234942,0.0024232728570036523,0.015075263109261399,0.016538037032199932,0.6865362979599519
DENV-1,2026,0.6971345816833511,0.03703816904790059,0.021799335674826784,0.022741021832298734,0.6981177915976944
DENV-1,2027,0.7069160006226012,0.07306623690962996,0.029579151702536288,0.028347587838990544,0.7106820012582193
DENV-2,2024,-0.28985259468583996,0.573338955856183,2.220446049250313e-16,2.3314683517128287e-15,0.6424422814139585
DENV-2,2025,-0.3386044739568059,0.5896672023048898,0.01684678306813806,0.018391869414451936,0.6799708811836291
DENV-2,2026,-0.38809770930383275,0.6055516516081092,0.022238789951360517,0.023924950091738263,0.7192444888438083
DENV-2,2027,-0.4365833427362077,0.621618153284926,0.026292187048954047,0.02742303631096378,0.7596144704046143
DENV-3,2024,-0.22561855880644735,0.01089117760388872,3.0531133177191805e-16,6.938893903907228e-18,0.2258812781695238
DENV-3,2025,-0.21008010843123182,-0.009786366219445737,0.0015623439562247818,0.0014941931481268307,0.2103079288145343
DENV-3,2026,-0.19463844769926383,-0.030731959182911352,0.0021093419511578376,0.0022688754241483797,0.19704968570895817
DENV-3,2027,-0.17936527861088852,-0.05124569444478721,0.002614274620735687,0.0027374545720673486,0.18654228574317985
DENV-4,2024,-0.07731506948894272,-0.5198036714315146,1.1102230246251565e-16,3.3306690738754696e-16,0.5255220992534587
DENV-4,2025,-0.08647647501275788,-0.5274144033716031,0.005630494101730618,0.005903503351657784,0.5344568585156861
DENV-4,2026,-0.09479184199982198,-0.535277110823318,0.008608058778717913,0.00928303477615422,0.5436056278968033
DENV-4,2027,-0.10364526810687325,-0.5423940410207255,0.011397787651525194,0.010826887552905583,0.5522079656576299
